// APLS custom dictionary

// Word-initial secondary-stress: Use """ at the start of the word & " at the end
// DO NOT EDIT IN EXCEL--IT WILL ADD EXTRA CHARACTERS
// N.B. Rows with just one entry are ignored by LaBB-CAT; these can be used for comments


// Pittsburgh/SWPA geographic names
Applebee,'{-pP-bi
Applebee's,'{-pP-biz
Pelusi,p@-'lu-si
Amiesite,'{-mI-s2t
Loews,'l5z
Panera,p@-'n8r-@
Stroh's,'str5z
Poli's,'p5-l2z
Gullifty's,g@-'lIf-tiz
Highmark,'h2-"m#rk
Arby's,'#r-biz
Starbucks,'st#r-bVks
Dunkin,'dVN-kH
Dunkin','dVN-kH
Lutz's,'lVts-@z
Penn-Mac,"""pEn-'m{k"
Foodland,'fud-"l{nd
Mariani's,m8r-i-'Q-niz
Damico's,d@-'mi-k5z
Mezzanotte,'mE-z@-nQ-t1
Mezzanotte,mEt-s@-'n5-t1
Sunseri's,sVn-'s8r-iz
Parma's,'p#r-m@z
Hermanowski's,"""h@r-m@n-'6-skiz"
Isaly's,'2s-liz
Yuengling,'jIN-lIN
Yuenglings,'jIN-lINz
Koppers,'kQ-p@rz
Heppenstall,'hE-pH-"st$l
Cigna,'sIg-n@
Pennysaver,'pE-ni-"s1-v@r
Primanti,'prI-m{n-ti
Chi-Chi,'Ji-"Ji
Blaw-Knox,'bl$-"nQks
Cutler-Hammer,"""kVt-l@r-'h{-m@r"
Klavon's,'kl1-vHz
Baba's,'bQ-b@z
Donatelli's,dQ-n@-'tE-liz
Groceria,"""gr5-s@r-'ri-@"
Italiana,I-"t{-li-'Qn-@
C-SPAN,'si-"sp{n
McCrory's,mI-'kr$r-iz
Maxx,'m{ks
Dowe's,'d6z
Ammon,'{-mH
Deroy,'di-"r4
Kinko's,'kIN-k5z
Allis-Chalmers,"""{-l@s-'J$l-m@rz"



// Unexpected omissions from Unisyn
tarp,'t#rp
tarps,'t#rps
stepdad,'stEp-"d{d
stepdads,'stEp-"d{dz
aneurysm,'{n-j@r-I-zF
aneurysms,'{n-j@r-I-zFz
disrespected,"""dIs-r@-'spEk-t@d"
disrespecting,"""dIs-r@-'spEk-tIN"
Grier,'gr7r
moonshot,'mun-"SQt
moonshots,'mun-"SQts
kook,'kuk
kooks,'kuks
dietitian,"""d2-@-'tI-SH"
dietitians,"""d2-@-'tI-SHs"
balled,'b$ld
balling,'b$-lIN
righty,'r2-ti
impatien,Im-'p1-SH
impatiens,Im-'p1-SHz
y'all,'j$l
y'alls,'j$lz
artsy,'#rt-si
bachelorette,"""b{J-l@r-'Et"
bachelorettes,"""b{J-l@r-'Ets"
worldview,'w3rld-"vju
worldviews,'w3rld-"vjuz
Kwanzaa,'kwQn-z@
knick,'nIk
knicks,'nIks
St,'s1nt
St,'strit
anchorpeople,'{N-k@r-"pi-pP
anchorwoman,'{N-k@r-"wU-mH
anchorwomen,'{N-k@r-"wI-mH
stogie,'st5-gi
stogies,'st5-giz
jitney,'_It-ni
jitneys,'_It-niz
popsicle,'pQp-sI-kP
popsicles,'pQp-sI-kPz
limburger,'lIm-b@r-g@r
com,'kQm
CD,"""si-'di"
CDs,"""si-'diz"
cornrow,'k$rn-"r5
cornrows,'k$rn-"r5z
docent,'d5-sInt
docents,'d5-sInts
cookout,'kUk-6t
cookouts,'kUk-6ts
DJ,'di-_1
DJs,'di-_1z
DVD,"""di-vi-'di"
DVDs,"""di-vi-'diz"
gelato,_@-'lQ-t5
gelatos,_@-'lQ-t5z
nonscientific,"""nQn-s2-H-'tI-fIk"
commodification,k@-"mQ-d@-f@-'k1-SH
rec,'rEk
extracurricular,"""Eks-tr@-k@-'rI-kj@-l@r"
refacing,"""ri-'f1-sIN"
reface,ri-'f1s"
gummies,'gV-miz
webcam,'wEb-k{m
webcams,'wEb-k{mz
melding,'mEl-dIN
kickboxer,'kIk-bQk-s@r
kickboxers,'kIk-bQk-s@rz
minoring,'m2-n@r-IN
rotaries,'r5-t@r-iz
Lakers,'l1-k3rz
pierogi,p@r-'5-gi
pierogie,p@r-'5-gi
pierogies,p@r-'5-giz
capris,k@-'priz
bacterias,b{k-'tir-i-@z
podiatrist,p@-'d2-@-trIst
maxes,'m{k-s@z
partier,'p#r-ti-@r
townie,'t6-ni
stepsibling,'stEp-"sIb-lIN
stepsiblings,'stEp-"sIb-lINz
stepkids,'stEp-"kIdz
stepkid,'stEp-"kId
unironically,Vn-2-'rQ-nIk-li
uppity,'V-pI-ti
segue,'sEg-w1
outdoorsman,6t-'d$rz-mH
humongous,hju-'mVN-g@s
Septembers,sEp-'tEm-b@rz
dodgeball,'dQ_-"b$l
bling,'blIN
phys,'fIz
pre,'pri
busing,'bV-sIN
Slovenians,sl5-'vi-ni-Nz
afros,'{-fr5z
homeschool,'h5m-"skul
transracial,'tr{nz-"r1-SP
Black-owned,'bl{k-"5nd
great-grandparents,"""gr1t-'gr{nd-p8r-Hts"
sarcoidosis,"""s#r-k4-'d5-s@s"
sarcoid,'s#r-"k4d
Seventh-day,'sE-vHT-"d1
transitioned,tr{n-'zI-SHd
knucklehead,'nV-kP-"hEd
knuckleheads,'nV-kP-"hEdz
igniters,Ig-'n2-t@rz
howitzers,'h6-It-s@rz


// Other
Juneteenth,"""_un-'tinT"
Shawntae,"""S$n-'t1"
homie,'h5-mi
homies,'h5-miz
Zehner,'z1-n@r
meister,'m2s-t@r
Sambo,'s{m-b5
there're,D8r-@r
McGruder,mI-'gru-d@r
sucky,'sV-ki
collab,k@-'l{b
Blige,'bl2_
babushka,b@-'bUS-k@
babushka,b@-'buS-k@
babushkas,b@-'bUS-k@z
